Amplicon	AY.39.1.4	BA.1.17
9	0.4477611940298507	0.5522388059701493
14	0.4567901234567901	0.5432098765432098
19	0.5146198830409356	0.48538011695906436
20	0.5146198830409356	0.48538011695906436
21	0.4482758620689655	0.5517241379310345
24	0.3815789473684211	0.618421052631579
28	0.5454545454545455	0.4545454545454545
30	0.5165876777251185	0.4834123222748815
34	0.41509433962264153	0.5849056603773585
35	0.41509433962264153	0.5849056603773585
37	0.4509803921568627	0.5490196078431373
38	0.625	0.375
50	0.5973154362416109	0.4026845637583891
51	0.5973154362416109	0.4026845637583891
54	0.5733333333333334	0.42666666666666664
55	0.5733333333333334	0.42666666666666664
71	0.5448275862068965	0.45517241379310347
72	0.4662756598240469	0.533724340175953
75	0.4727272727272728	0.5272727272727272
76	0.5275590551181102	0.4724409448818898
78	0.0	1.0
79	0.0	1.0
85	0.4324324324324324	0.5675675675675675
87	0.5833333333333333	0.41666666666666674
88	0.5811965811965811	0.41880341880341887
89	0.5294117647058824	0.47058823529411764
98	0.5024390243902439	0.4975609756097561
