Amplicon	AY.98.1	B.1.1.529
2	0.4754098360655737	0.5245901639344264
14	0.7142857142857143	0.2857142857142857
18	0.3214285714285714	0.6785714285714286
21	0.6	0.4
24	0.4893617021276595	0.5106382978723405
30	0.6046511627906976	0.39534883720930236
34	0.9135802469135803	0.08641975308641969
35	0.9135802469135803	0.08641975308641969
37	0.5	0.5
75	0.06666666666666676	0.9333333333333332
76	1.0	0.0
78	0.0	1.0
79	0.0	1.0
80	0.08333333333333337	0.9166666666666666
81	0.0	1.0
82	0.0	1.0
89	1.0	0.0
93	1.0	0.0
94	0.9069767441860463	0.09302325581395365
96	1.0	0.0
97	1.0	0.0
98	0.979591836734694	0.020408163265306034
