Amplicon	AY.107	B.1.1.529
14	0.580110497237569	0.419889502762431
21	0.0232558139534883	0.9767441860465117
30	0.9913793103448276	0.008620689655172376
37	0.995967741935484	0.004032258064516014
49	0.98	0.020000000000000018
50	0.98	0.020000000000000018
54	0.991869918699187	0.008130081300813052
55	0.991869918699187	0.008130081300813052
75	0.2644628099173554	0.7355371900826446
76	0.912	0.08799999999999997
78	0.9785714285714284	0.021428571428571574
80	0.0	1.0
83	0.9786324786324786	0.021367521367521403
85	0.9659574468085106	0.03404255319148941
89	0.9917355371900828	0.008264462809917217
94	0.6075949367088608	0.3924050632911392
95	0.3015873015873015	0.6984126984126985
