Amplicon	AY.132	AY.63
5	0.9838709677419356	0.01612903225806439
7	0.9796747967479674	0.020325203252032575
14	0.9802371541501976	0.01976284584980237
16	0.9919678714859438	0.008032128514056214
21	0.9959016393442623	0.004098360655737654
24	0.9839357429718876	0.016064257028112428
37	0.9795081967213116	0.02049180327868838
64	0.9757085020242916	0.024291497975708398
66	0.9838056680161944	0.0161943319838056
86	0.9795081967213116	0.02049180327868838
93	0.9879032258064516	0.012096774193548376
97	0.975609756097561	0.024390243902439046
