Amplicon	AY.43.8	BA.1.17
9	0.2325581395348837	0.7674418604651163
14	0.3551912568306011	0.644808743169399
19	0.36	0.64
20	0.36	0.64
21	0.3419354838709677	0.6580645161290323
24	0.2674418604651162	0.7325581395348838
28	0.32067510548523204	0.679324894514768
30	0.2895752895752895	0.7104247104247106
34	0.29000000000000004	0.71
35	0.29000000000000004	0.71
38	0.3829787234042553	0.6170212765957447
50	0.2989690721649485	0.7010309278350515
51	0.2989690721649485	0.7010309278350515
62	0.3048128342245989	0.6951871657754011
71	0.2325581395348837	0.7674418604651163
72	0.2325581395348837	0.7674418604651163
75	0.2429906542056075	0.7570093457943925
76	0.9759036144578314	0.02409638554216864
78	0.0	1.0
79	0.0	1.0
80	0.388235294117647	0.611764705882353
81	0.1837837837837838	0.8162162162162162
82	0.19354838709677424	0.8064516129032258
85	0.2622222222222222	0.7377777777777779
87	0.2532751091703057	0.7467248908296943
88	0.5030674846625767	0.49693251533742333
89	0.4911242603550296	0.5088757396449703
92	0.3544973544973545	0.6455026455026456
93	0.2619047619047619	0.7380952380952381
94	0.2417061611374407	0.7582938388625593
95	0.3177570093457944	0.6822429906542056
98	0.3679245283018867	0.6320754716981133
