Amplicon	AY.39.1.2	BA.1.17
5	0.6071428571428571	0.3928571428571429
6	0.6071428571428571	0.3928571428571429
9	0.9166666666666667	0.08333333333333326
14	0.7368421052631579	0.26315789473684215
19	0.6829268292682926	0.3170731707317074
20	0.6829268292682926	0.3170731707317074
21	0.5294117647058824	0.47058823529411764
24	0.7333333333333333	0.2666666666666667
30	0.625	0.375
37	0.9411764705882352	0.05882352941176483
38	0.6451612903225806	0.3548387096774194
50	0.7555555555555555	0.24444444444444446
51	0.7555555555555555	0.24444444444444446
54	0.76	0.24
55	0.76	0.24
61	0.6	0.4
71	0.7142857142857143	0.2857142857142857
72	0.6875	0.3125
75	0.5833333333333333	0.41666666666666674
76	1.0	0.0
78	0.0	1.0
79	0.0	1.0
80	0.8	0.19999999999999996
81	0.7142857142857143	0.2857142857142857
85	0.7083333333333334	0.29166666666666663
87	0.8275862068965517	0.1724137931034483
89	0.7083333333333334	0.29166666666666663
93	0.8947368421052632	0.10526315789473684
96	1.0	0.0
97	1.0	0.0
98	0.7484276729559748	0.2515723270440252
